"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 03- 16","156,100","151,500","159,600","151,500","84.14K","2.90%"
"2019- 03- 15","151,700","147,900","153,000","147,800","70.84K","2.57%"
"2019- 03- 14","147,900","147,300","150,800","145,500","58.34K","0.41%"
"2019- 03- 13","147,300","148,800","149,100","146,600","56.63K","-1.01%"
"2019- 03- 12","148,800","148,600","150,900","143,600","80.59K","0.34%"
"2019- 03- 11","148,300","149,800","151,200","146,700","81.93K","-0.94%"
"2019- 03- 10","149,700","151,700","151,800","148,700","48.13K","-1.32%"
"2019- 03- 09","151,700","149,100","153,100","148,100","77.07K","1.74%"
"2019- 03- 08","149,100","151,400","154,000","145,600","101.02K","-1.65%"
"2019- 03- 07","151,600","151,500","154,000","150,400","73.12K","0.07%"
